Activity Id,Students Sets,Subject,Teachers,Room,SKS
241,IS-03-03,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,NAS,LAB,3
242,CE-03-01,23261 - MAA2013 - PROBABILITAS DAN STATISTIK,NIS,KELAS,3
243,CE-03-02,23261 - MAA2013 - PROBABILITAS DAN STATISTIK,NIS,KELAS,3
244,IE-02-01,23618 - IEA3043 - ORGANISASI DAN MANAJEMEN PERUSAHAAN INDUSTRI,NIS,KELAS,3
245,IE-03-01,23582 - IEA2232 - PROSES MANUFAKTUR,NNR,KELAS,2
246,IE-03-01,23593 - IEA2231 - PRAKTIKUM PROSES MANUFAKTUR,NNR,LAB,1
247,IE-03-02,23582 - IEA2232 - PROSES MANUFAKTUR,NNR,KELAS,2
248,IE-03-02,23593 - IEA2231 - PRAKTIKUM PROSES MANUFAKTUR,NNR,LAB,1
249,IE-03-03,23582 - IEA2232 - PROSES MANUFAKTUR,NNR,KELAS,2
250,IE-03-03,23593 - IEA2231 - PRAKTIKUM PROSES MANUFAKTUR,NNR,LAB,1
251,IS-02-01,23826 - TPA3022 - KEWIRAUSAHAAN,NPI,KELAS,2
252,IS-02-02,23825 - ISA3242 - ETIKA PROFESI TEKNOLOGI INFORMASI,NPI,KELAS,2
253,IS-02-02,23826 - TPA3022 - KEWIRAUSAHAAN,NPI,KELAS,2
254,IS-03-01,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,NPI,KELAS,3
255,IS-03-01,23813 - ISA2244 - JARINGAN KOMPUTER DAN KOMUNIKASI DATA,NPI,LAB,3
256,TE-03-01,23221 - TEA2213 - MIKROPROSESOR,NRR,KELAS,3
257,TE-03-02,23210 - FEA2223 - ELEKTROMAGNETIKA,NRR,KELAS,3
258,TE-03-02,23221 - TEA2213 - MIKROPROSESOR,NRR,KELAS,3
259,TE-04-01,23193 - MAA1023 - MATEMATIKA DISKRIT,NRR,KELAS,3
260,TE-04-02,23193 - MAA1023 - MATEMATIKA DISKRIT,NRR,KELAS,3
261,IT-03-01,23762 - ITA2243 - JARINGAN KOMPUTER LANJUT,OKT,KELAS,3
262,IT-03-02,23762 - ITA2243 - JARINGAN KOMPUTER LANJUT,OKT,KELAS,3
263,IT-03-03,23761 - ITA2283 - KEAMANAN INFORMASI,OKT,KELAS,3
264,IT-03-03,23762 - ITA2243 - JARINGAN KOMPUTER LANJUT,OKT,KELAS,3
265,CE-04-01,23204 - SCA1211 - PRAKTIKUM FISIKA 2,ONI,LAB,1
266,CE-04-01,23198 - SCA1213 - FISIKA 2,ONI,KELAS,3
267,EE-04-01,23276 - SCA1213 - FISIKA 2,ONI,KELAS,3
268,EE-04-01,23288 - SCA1211 - PRAKTIKUM FISIKA 2,ONI,LAB,1
269,TE-04-01,23183 - SCA1211 - PRAKTIKUM FISIKA 2,ONI,LAB,1
270,TE-04-01,23182 - SCA1213 - FISIKA 2,ONI,KELAS,3
271,TE-04-02,23183 - SCA1211 - PRAKTIKUM FISIKA 2,ONI,LAB,1
272,TE-04-02,23182 - SCA1213 - FISIKA 2,ONI,KELAS,3
